type,year,quarter,category,count,amount,brand,percentage
user,,,,34460,,Xiaomi,0.2452110551333504
user,,,,27883,,Vivo,0.1984103264736857
user,,,,25799,,Samsung,0.1835809637662596
user,,,,15701,,Oppo,0.1117254433154014
user,,,,7762,,Realme,0.0552329718498278
user,,,,3296,,Lenovo,0.0234537329576181
user,,,,3175,,Motorola,0.0225927190960066
user,,,,2928,,Apple,0.0208351122875928
user,,,,2510,,Huawei,0.0178607007656619
user,,,,2058,,OnePlus,0.0146443514644351
user,,,,14960,,Others,0.1064526228901602
user,,,,38996,,Xiaomi,0.2459074284272922
user,,,,32183,,Vivo,0.2029448858620254
user,,,,28908,,Samsung,0.1822928490351872
user,,,,18106,,Oppo,0.1141758103165594
user,,,,8833,,Realme,0.0557005927607516
user,,,,3513,,Lenovo,0.0221528566023458
user,,,,3454,,Motorola,0.0217808046411905
user,,,,3276,,Apple,0.0206583427922814
user,,,,2827,,Huawei,0.0178269643082355
user,,,,2202,,OnePlus,0.0138857359061672
user,,,,16282,,Others,0.1026737293479631
user,,,,43202,,Xiaomi,0.2441770427685682
user,,,,37115,,Vivo,0.2097734119336005
user,,,,31867,,Samsung,0.1801117962572557
user,,,,20623,,Oppo,0.116560880353136
user,,,,10150,,Realme,0.0573676446484182
user,,,,3660,,Lenovo,0.0206862639815971
user,,,,3640,,Motorola,0.0205732242877086
user,,,,3605,,Apple,0.0203754048234037
user,,,,3096,,Huawei,0.0174985446139411
user,,,,2366,,OnePlus,0.0133725957870106
user,,,,17605,,Others,0.09950319054536
user,,,,48012,,Xiaomi,0.2429781677952206
user,,,,42886,,Vivo,0.2170366096822842
user,,,,35031,,Samsung,0.1772841830382898
user,,,,23415,,Oppo,0.1184981629368718
